iter	Passed	Remaining
0	2	270
1	5	247
2	7	249
3	9	226
4	11	217
5	13	216
6	16	213
7	18	208
8	20	205
9	22	204
10	25	203
11	27	202
12	29	200
13	32	197
14	34	195
15	36	192
16	39	190
17	41	187
18	43	184
19	45	180
20	46	175
21	48	172
22	50	168
23	51	164
24	54	163
25	55	158
26	58	157
27	60	155
28	62	153
29	65	152
30	67	149
31	69	147
32	71	144
33	73	142
34	75	140
35	77	138
36	80	136
37	82	134
38	84	131
39	85	128
40	87	125
41	88	122
42	90	120
43	92	118
44	95	116
45	97	114
46	99	112
47	101	110
48	103	108
49	106	106
50	108	104
51	110	102
52	112	99
53	115	97
54	115	94
55	118	92
56	120	90
57	122	88
58	124	86
59	126	84
60	129	82
61	131	80
62	133	78
63	135	76
64	138	74
65	140	72
66	142	70
67	144	68
68	147	66
69	149	64
70	151	62
71	153	59
72	156	57
73	158	55
74	160	53
75	162	51
76	165	49
77	167	47
78	169	45
79	171	42
80	173	40
81	176	38
82	178	36
83	180	34
84	183	32
85	185	30
86	188	28
87	190	25
88	192	23
89	195	21
90	197	19
91	200	17
92	202	15
93	204	13
94	206	10
95	208	8
96	210	6
97	212	4
98	215	2
99	217	0
